price,size_m2,title,location,link,source,scraped_at
,,Terrenos en Venta,Querétaro area,https://www.lamudi.com.mx/terreno/for-sale/,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
,,Terrenos en Renta,Querétaro area,https://www.lamudi.com.mx/terreno/for-rent/,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
,,QuerÃ©taro Arteaga,Querétaro area,https://www.lamudi.com.mx/queretaro-arteaga/terreno/for-sale/,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
,,QuerÃ©taro,Querétaro area,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/terreno/for-sale/,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
,,Cumbres del Cimatario,Cumbres del Cimatario,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
850.00,,2 Manja BR Lote / Terreno en Venta en Cumbres del Cimatario Cumbres del Cimatari,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-ebaf8a95e05c-617b-1979056-b88c-7545,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
1136500,,"5 Lote / Terreno en Venta en Cumbres del Cimatario Cumbres del Cimatario, QuerÃ©",Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-2862051a28b3-7ffa-19a0d9e-aaca-768c,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
2750000,,4 ROSALBA TRUJILLO Lote / Terreno en Venta en Cumbres del Cimatario Cumbres del ,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-21e8ca5c46b7-46fa-19d0e53-a4fd-754e,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
2650000,,7 Manja BR Lote / Terreno en Venta en Cumbres del Cimatario Cumbres del Cimatari,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-d4a9f391397-d3dd-deec6f5e-9853-3385,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
2450000,,7 Manja BR Lote / Terreno en Venta en Cumbres del Cimatario Cumbres del Cimatari,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-6ef380284803-e9cf-1961ad5-b4b8-7ce1,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
1200000,,Destacado15,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-4d18a4929093-fc39-19c2bae-adbd-796a,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
756000,,"7 Lote / Terreno en Venta en Cumbres del Cimatario Cumbres del Cimatario, QuerÃ©",Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-6d02a56a7361-5065-19a0d9a-89eb-74e8,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
1350000,,6 P.I. Probienes - Angelina Simental Lote / Terreno en Venta en Villas del Sur A,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-d4f299731aa5-c27a-f0d67cba-8bfe-3a82,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
3950,,1 Poga Servicios Inmobiliarios SA de CV Lote / Terreno en Venta en Villas del Su,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-884702fd3364-e5ca-8bccb542-9815-3553,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
2600000,,8 DR INMOBILIARIA Lote / Terreno en Venta en Villas del Sur A 0.10 Km de Cumbres,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-2ca9f5edf055-d0cb-1973c8f-b5ae-7c08,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
31806180,,11 RE/MAX ADN Lote / Terreno en Venta en Centro HistÃ³rico A 0.36 Km de Cumbres ,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-573653dded34-15c8-1926220-bba2-73d9,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
62091,,11 RE/MAX ADN Lote / Terreno en Venta en Centro HistÃ³rico A 0.36 Km de Cumbres ,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-927444541e68-f04c-192621f-bb6b-78d6,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
50000,,5 Global QuerÃ©taro Inmobiliaria Lote / Terreno en Venta en Cimatario A 0.46 Km ,Cimatario,https://www.lamudi.com.mx/detalle/41032-73-15b9b77c9594-2f6-19c92c4-b2aa-7e64,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
7641168.30,,4 OPI Real Estate Lote / Terreno en Venta en Hidalgo A 0.56 Km de Cumbres del Ci,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-41a7f649716-a263-19df5e0-9b93-7288,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
2711400.72,,4 OPI Real Estate Lote / Terreno en Venta en Hidalgo A 0.56 Km de Cumbres del Ci,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-1d2f22c832f8-931a-19df5e0-baa3-722e,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
3402909.04,,4 OPI Real Estate Lote / Terreno en Venta en Hidalgo A 0.56 Km de Cumbres del Ci,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-c30811ec66d0-8be1-19df5e0-8ac3-782e,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
21157890.00,,10 OPI Real Estate Lote / Terreno en Venta en Centro HistÃ³rico A 0.58 Km de Cum,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-369cf1adea6c-4038-19d6af9-83b9-735e,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
10920268.00,,10 OPI Real Estate Lote / Terreno en Venta en Centro HistÃ³rico A 0.58 Km de Cum,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-d167d28c4a3a-2ca8-19d6af9-a84f-74c8,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
11500,,6 Lote / Terreno en Venta en Centro HistÃ³rico A 0.58 Km de Cumbres del Cimatari,Cumbres del Cimatario,https://www.lamudi.com.mx/detalle/41032-73-45e3c5799411-d6f-19ac13e-b7d3-7b75,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,2026-06-23T01:29:18.463481+00:00
